title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"5T35_235",235,Done,33.594,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_236",236,Done,35.375,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_237",237,Done,27.359,-12.1807,"5t35-grid",-12.181,-4.39079,-0.608,-0,-1.79144,-76.3207,-12.3145,0.27898,-0.00650803,-149.061,-88.6353,8.8667
"5T35_238",238,Done,39.484,-14.5578,"5t35-grid",-14.5583,-6.61205,-0.32,-0,-1.82013,-90.1701,-10.1267,0.255338,-0.0339083,-170.74,-100.297,15.3003
"5T35_239",239,Done,27,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_240",240,Done,32.391,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_241",241,Done,43.359,-13.1114,"5t35-grid",-13.1118,-4.60376,-0.72,-0,-1.70109,-75.3924,-16.2322,0.263464,-0.145966,-161.618,-91.6247,7.60471
"5T35_242",242,Done,27.454,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_243",243,Done,39.235,-13.7654,"5t35-grid",-13.7658,-6.21078,-0.247233,-0,-2.01044,-89.6125,-7.22173,0.268571,-0.00207707,-170.644,-96.8343,6.32062
"5T35_244",244,Done,33.765,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_245",245,Done,35.438,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_246",246,Done,33.328,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_247",247,Done,30.75,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_248",248,Done,26.032,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_249",249,Done,33.359,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_250",250,Done,30.016,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
